clean_text,label
inilah hasil imajinasi megalomania bukan rasionalitas negara harus belajar dari kegagalan ini bukan hanya unt menghindari pemborosan sumber daya tapi juga unt memastikan bahwa politik tidak lagi menjadi panggung halusinasi melainkan alat unt mewujudkan kesejahteraan yang nyata bagi rakyat,Negatif
aphnya problematik disumpah menegakkan hukum malah jadi kaki tangan penguasa,Positif
kurang anjing apa coba gerombolan ini seandainya hukum di indon ditegak kan tapi sudahlah itu hanya mimpi semoga karma semesta berlaku adanya,Negatif
harunya mereka semua diadili,Negatif
adili jokowi beserta gerombolannya perusak,Netral
kebodohan lebih tepatnya kegilaan,Positif
nggih mas paham saya kurang teliti membacanya,Negatif
prabowo bagian dari gerombolan yang saya maksud,Negatif
kalo berharap mendukung pengadilan menurut saya itu bagai menggantang asap tangeh lamun,Positif
berani enggak nih sikat gerombolan mulyono tentang ikn,Negatif
kita tunggu kabar mas apakah akan jadi season,Positif
istana wakil presiden enggak sudi,Positif
dan gerombolannya seharusnya bisa diadili sebagai pelajaran agar kelak tak ada lagi politikus yang seenak jidatnya menghambur hamburkan sumber daya bersama untuk melayani halusinasi dan kebodohan kronis,Negatif
lu mau lihat orang argumen dari followers nya sdm rendah pantasan enggak bisa adu argumentasi malah nyinyir lucu sifat kalian munafik,Negatif
enggak punya argumen ternak wan abud,Negatif
kalau seandainya dulu tidak ada pandemi covid mungkin saja pembangunan ikn sudah rampung sebelum tahun kemarin sudah bisa pindah ke ikn,Negatif
duit investorlah memang bapak lu punya duit komen nyinyir kayak tempo yang lagu bu,Negatif
tajut dipenjara mereka diberi keleluasaan korupsi beberapa waktu kemudian dipanggil dan diberitahu kelakuan korupnya dan datanya ada di kpk jadilah mereka sandera,Negatif
menambah daftar panjang kebohongan,Positif
istana boneka untuk wapres boneka,Netral
istana wakil presiden bruh ikn dibangun ternyata buat anaknya,Positif
era jokowi keuangan negara masih bagus dan sengaja di mangkrak kan kalau sekarang negara sudah tidak mampu buat lanjut pembangunan,Positif
yang penting deh dapat fee diit samaemas di simpan di bunker buat persiapan cucunya jadi ri urusan lanjt atau enggak terserah yang meneruskan,Negatif
selamat tinggal badan,Positif
tanah warga sana saja banyak yang belum dibayar,Negatif
harus di alem lah diawal,Negatif
istilah yang cocok untuk menggambar kan ikn apa ya,Netral
buzzer dan influencer yang dibawa kesana buat buat muji muji ikn apa kabarnya,Negatif
pelajaran yang sangat mahal untuk bangsa indonesia semoga tidak terulang lagi kejadian yang seperti ini pemerintah hendaknya mau mendengarkan suara dan pertimbangan rakyat secara langsung setidaknya biarlah rakyat berbicara suara kritisi jangan langsung dibungkam,Netral
pengin menuntut rasanya anjir itu ikn dibangun bukan pakai daun ya dan berdiri begitu saja mana jor jor an banget dan sok mewah begitu bangunannya kenapa sih lagi pemerintah itu cuma menyusahkan warganya sekalipun itu presidennya presiden loh presiden sabar ya allah jadi wni,Positif
investor korea ada jepang mana gedabrus,Positif
sudah bu diam jangan menonton hoax tiktok mulu mending nanti menonton saja film horor yang syuting di ikn,Negatif
percaya lu media tempo yang modalin asing pemecah belah bangsa media anti kemajuan lu enggak tahu sekarang saja otorita ikn lagi melelang tender senilai t fase akan dimulai oktober mendatang prabowo menargetkan selesai tahun ini jangan kudet,Negatif
membangun terbukti mudah jika ada dananya yang sulit menghidupkan perekonomian sebenarnya,Positif
demi allah di persidangan allah saya akan meminta pertanggung jawaban kepada mereka yang membuang uang pajak yang saya bayar untuk ikn ini saya tidak ikhlas dunia akhirat,Negatif
pertama dan terakhir jokowi anjing,Negatif
apa yang di katakan pak anies jadi kenyataan,Negatif
kita sebut saja anggaran ikn sebagian lebih buat dana kampanye kemarin akhirnya menang,Positif
lebih parah dari hambalang,Negatif
coba bayangkan uang triliunan itu dulu untuk beasiswa mahasiswa si si si ke luar negeri sekarang mereka pasti sudah selesai kuliah dan indonesia upgrade sdm secara massal siap membangun indonesia menjadi negara lebih baik,Positif
yang katanya investor banyak yang antri ternyata nol besar akhirnya penerimaan pajak dialokasikan untuk meneruskan memelihara gedung yang sudah berdiri ini akibat grasa grusu membangun ikn dan anggaran pun terbuang sia sia,Negatif
gibran suruh tinggal sana saja main istana istana kelelawar punya bpaknya itu,Positif
dulu ternakannya menghina karena hambalang tapi kini hinaannya menjadi karma sih mulyono,Netral
colek deh sih mul,Netral
jokowi hanya membuat indonesia semakin terpuruk bukannya makin maju,Negatif
kesalahan kolektif bangsa ini memberikan panggung kekuasaan kepada orang bodoh yang tidak punya etika tidak ada rasa malu pembohong tambah licik akibatnya luar biasa dahsyat kerusakan bangsa ini,Negatif
istana presiden istana wapres seru ya main istana istanaan enggak sekalian saja diganti nama jadi istana boneka,Positif
jadikan saja ibukota provinsi kaltim dari pada lama enggak terpakai dan provinsi mengganti biaya ke pusat setengahnya adil kan kaltim provinsi kayak daripada digantung teros,Negatif
bodoh masak uang triliunan dibuang untuk jadi ibukota transit memang uang nenek lu,Positif
lancar benar kalau menghalu perlu psikolog sepertinya beliau itu,Positif
proyek besar itu cuma buat bancakan jokowi dkk saja,Negatif
ikn sudah bukan prioritas lbp dkk lagi mereka sudah punya mainan baru yang lebih cuan yaitu danantara amsiong,Negatif
bongkar semua jualin semua ke marketplace lumayan lah duitnya buat kas negara wkwk,Negatif
cukup diteruskan untuk istananya biar jadi istana kepresidenan yang ke dan berada di pulau kalimantan selain ada di pulau bali dan pulau jawa yang lainnya di lelang saja ke masyarakat dengan harga murah,Negatif
lah dulu juga mereka tak mendukung dalam arti ikn itu perlu tapi pjbt dan politisi di kita banyak mental jongos dan penjilat ketika ganti pimpinan dimana ikn bukan prioritas mereka balik badan lalu mengusulkan ikn buat ini itu brengsek memang,Positif
mari gaungkan adili jokowi,Positif
kalau mangkrak berapa t kerugian negara,Negatif
tangkap adili bersama rezim pendukungnya dia harus bertanggung jawab karena kebodohannya,Negatif
yang jelas upacara an kenegaraan enggak dilaksanakan di sana bahkan fufufafa saja enggak dibolehin upacara di sana kepres enggak ditandatangani prabowo kasiaaann deh termul,Negatif
justru mending termul nya pada kesana deh sempit jakarta banyak termul,Negatif
termul bikin negara didalam negara saja di ikn ajak anggota majlis pengajian yang juga mau bikin negara itu sekalian,Negatif
enggak mngkrak cuma molor enggak jelas tidak sesuai jnji mukidi faktanya ibukota negara tetap djkarta lihat mndatang upacara bnderanya dimana,Positif
dengan standar dunia memang kemarin pakai standar apa neraka,Negatif
bang main main deh ke ikn haha,Positif
masalahnya di sana adalah rumah monyet orangutan dan bekantan negara gagal konservasi memang dangkal,Positif
ikn waktu yang membuktikan seperti halnya menara babylonia yang gagal dibangun oleh rajanya hammurabi karena murka allah ikn dibamgun atas keserakahan diatas penderitaan dua pertiga lebih rakyat imdonesia miskin sehingga mudah ditipu dengan tepuk pramuka,Negatif
memang banyak enggak dibayar karena uangnya enggak ada,Positif
pak kan memang cuma omon omon banyak contohnya,Positif
ya harus lah jadi enggak begitu buang uang rakyat dengan proyek legacy yang bukan dinikmati untuk rakyat langsung yang sebenarnya tidak urgen amat dan malah membebani,Negatif
orang yang sakit hati itu apapun yang di tunjukkan kebenaran pasti di balik dengan argumen hoax saudara saya saja masih bekerja di sana kok itu tandanya ikn tetap berjalan,Negatif
termul bego enggak jilat enggak makan,Negatif
kompas ke nya apa kimak,Negatif
sub kontraktor nye sudah pada di bayar belum,Positif
sebenarnya buat siapa kepentingan mega proyek ikn ini belum tentu prabowo dan kabinetnya mau ngantor disana,Positif
bertahaplah ya walaupun berjalan tidak sesuai target dan sampai presiden berganti masih belum ditetapkan jadi ibu kota negara,Positif
wkkwkwkkw kompas group beritanya sudah seperti termul,Negatif
yang penting ibukota pindah dulu investor akan ikut selama ini minim karena ragu,Negatif
kasihan pak prabowo karena judul nya melanj tkan jadi garus melanjutkan ini sayang juga kalau harus mangkrak makanya kalau mau bangun apa di pikir panjang di bicarakan jangan asal niat ngumpulin investor,Positif
apa yang dibanggakan dari ikn itu yang pasti dana yang digunakan terlalu banyak investor yang katanya banyak tapi enggak ada tanah rakyat di alihkan jadi enggak pakai yang semula enggak milik,Negatif
sederhana tapi anak wabah tidak suka,Negatif
termul bilang lanjut itu yang penting ada yang lalu lalang pakai helm proyek dan ada wisatawan datang yang bilang mangkrak ya karena prabowo belum kesana pemberitaan loyo yang kerja minim banyak isu enggak beres progress lambat uang kita juga seret,Negatif
bang mengaca bang isi twit mu juga isinya enggak bersih,Positif
lo kerja menjaga toilet saja songong tong sono gue biayai tangkepin tikus disono babi,Negatif
tidak ada kaitannya dengan hati kotor atau pikiran jelek waktu yang akan membuktikan kalau nanti terbukti prediksi saya meleset saya akan meminta maaf secara terbuka dan tutup akun kali saya kalau terbukti saya benar sikap anda,Negatif
kalau punya hati itu ya bersihkan jangan sampai kotor dan selalu berprasangka jelek karena itu akan menimbulkan hasad dan hasad bisa membakar semua amal ibadahmu,Negatif
nah benar kan copas pada akhir ya jadi data info yang tervalidasi pada suatu saat akan looping lagi false orang true dan end of file,Negatif
harusnya sudah di tempatin biar hidup kotanya jakarta buat pusat bisnis,Positif
kompas jadi agen pemuja ya,Positif
bayar pajak berpaa sih lo sok sok an saja,Negatif
pns tni polisi enggak mau pindah ya dipecat masih banyak kok yang antri jadi pns,Positif
bersama rakyat kadrun maksudnya media fitnah kok dipercaya goblok,Negatif
sudah ada pns disana blog pns enggak mau pindah tinggal dipecat masih banyak yang antri mau menggantikan,Positif
makanya lihat sendiri kalau masih bilang bukan warga indonesia fix matamu picek,Negatif
dikontrak berapa lu sama gibran,Positif
memang sebelum ada ikn rakyat sejahtera,Positif
makanya datang sendiri biar enggak enggak goblok,Negatif
lapang banget ya yang tadinya pohon segar sekarang jadi sedikit,Netral
jangan pernah ajak debat pengikut anis apalagi masih bocil yang belum pernah merasakan jadi pengusaha percuma enggak akan paham apalagi bocilnya penggemar jakarta bisanya nyinyir paling banter jadi pakai nanti,Negatif
lagi pcm saja sudah di narasikan seolah olah sudah sukses besar media glorifikasi ya,Positif
hastag ada jangan lupa ya admin,Positif
jahat banget ya jokowi dan kacung kacungnya semoga dibalas semua kelakuannya sama tuhan amin,Positif
buat berita itu yang betul tidak mangkraknya dimana mangkraknya dimana obyektif saja,Negatif
ya beda poin ini berfokus pada akselerasi ekonomi,Positif
tetap saja tidak membanggakan karena menyejahterakan rakyat lebih utama daripada membangun istana untuk para pejabatnya,Negatif
lahir dari pelacur ya begini,Positif
alhamdulillah masih ada yang mau mengasih utangan ke apbn,Positif
tahun loh wkwk kereta disamain sama tol yang mampu reguler naik kereta cepat itu berapa sih situasi ekonomi kayak begini memang siapa yang bersedia naik kereta cepat reguler disaat naik mobil lewat jalan tol juga cuma menempuh jarak jam,Negatif
negara hambur uang secara mubazir demi syahwat jokowi,Negatif
orang kalimantan gabutuh sulawesi gabutuh bos disini poinnya urgensi jakarta bandung banyak alternatif untuk sampai kesana dan ada beberapa daerah jangankan jalur alternatif jalur utamanya saja pada rusak dan enggak ada perbaikan katanya pemerataan,Negatif
kompas ini isinya banyak kaum minecraft kah,Netral
biasae rakyat yang enggak mampu kritis itulah gejala akut kegoblokan kecuali buzzer loh ya kalo mereka kan bekerja,Negatif
ikn ketahuilah ikn mengapa dinamai nusantara diambil dari satu kata nama tokoh pki dan aidit ikn jika ditarik garis bujur utara selatan maka beijing ikn satu garis bujur padahal ide sukarno dulu ibukota di palangkaraya kalteng apa maksudnya jokowi menggeser lokasi,Negatif
heboh banget judulnya min,Positif
gila media gede terang an jadi buzzer pemerintah,Positif
perlu dipahami pusat ekonomi tetap jakarta sebagai metropolitan ikn hanya untuk aktifitas pemerintahan eksekutif presiden wapres kementerian dan masalah utamanya pejabatnya nolak dipindahkan wkwk,Positif
kalian kelupaan hashtag ada,Positif
iya deh percaya enggak mangkrak kan kasihan pekerjanya,Positif
wkwkwk enggak terima amat demi pemerintah lu yang sepele itu,Positif
buat apa sih membela ini yang beginian,Negatif
kompas mending ganti nama saja kompos,Negatif
ikn memang harus dilanjutkan karena itu uang rakyat dan hutan sudah tlanjur hilang kerugian penghentian ikn sangat besar bahkan hukuman matu seperti menggantung jokowi lalu dihidupkan lagi lalu divonis lagi tembak mati hidupkan lagi dikursi listrik dst sampai kali enggak bakal sepadan,Positif
kalo enggak lihat foto profil dikira postingan akun buzzer ini,Positif
orang kalimantan juga perlu kereta trans kalimantan untuk akselerasi,Negatif
jalan lo samain dengan kereta sul samsul jalan enggak perlu bergerak sedangkan kereta harus bergerak untuk bergerak lo pikir didorong sama raja kurap kalo untuk menggerakkan saja nombok bagaimana mau bayar utang,Negatif
ho oh sudah oversubrek buruan pindah sono,Positif
keluarkan survey dong kompas kan biasanya kalian begitu dalam mendukung,Negatif
jangan lupa ada,Positif
bangun saja rakyat hanya menonton habiskan apbn demi haus kekuasaan para pejabat negara,Negatif
sudah dikontrak lifetime subscription sama moelyono jadi mesti habis an,Positif
min ngadimin ini pesan pendirimu,Positif
buat tinggal cebong saja jadi jawa bebas hama,Negatif
tol jagorawi tahun pertama juga menderita tapi setelah itu untung besar semua sudah dihitung makanya investor mau bangun kereta cepat lo kira penghasilan kereta cepat cuma dari tiket penghasilan dari sewa ruang di stasiun iklan dan parkiran makin lama makin besar,Negatif
saya grok dibuat oleh xai saya tidak melakukan investigasi langsung di lapangan termasuk soal hutan ikn data yang saya gunakan berasal dari sumber publik seperti laporan ngo media dan penelitian misalnya forest watch indonesia yang melaporkan deforestasi hektar saya menganalisis informasi tersebut secara kritis tapi tanpa verifikasi fisik pemerintah klaim zona ikn akan tetap hijau tapi transparansi soal amdal masih dipertanyakan jika ingin detail cek sumber seperti atau,Negatif
om apakah kamu pernah lakukan investigasi lingkungan hutan ikn atau hanya copas dari media yang telah tersebar di berbagai platform media informasi,Netral
opini dari orang goblog yang pasti latar belakang pendidikanya tidak ada yang istimewa,Negatif
memandang ekonomi makro bukan hanya di sektor pendapatan kcic saja orang kayak yang berniaga juga perlu ditopang akselerasi bisni hal ini memberikan percepatan ekonomi dalam sektor lain,Negatif
bodo ah bagaimana disitu saja,Negatif
melanjutkan dan tahap ii itu setelah mangkrak duitnya habis enggak ada yang investasi yang visinya tanpa apbn mangkrak sekarang pakai apbn kok begitu saja enggak paham,Negatif
buang duit pajak di naikin,Negatif
wkwkwkwk makanya saya diamkan saja karena enggak faedah juga menanggapi mereka yang ada malah kita yang kewalahan di doxing,Negatif
diserbu buzzer mana inti dari reply nya sama semua lagi,Negatif
buzzer lu kompas dari dulu memang penjilat jokowi lu bangsat,Negatif
jangan lupa pindahin mulyono dan keluarga nya kesana sekalian biar enggak bikin sumpek jawa,Negatif
ya sudah pindahin secepat pemerintahan kesana muak banget lihat mereka di jakarta bikin macet ter entot tet entot,Positif
ngibulll mulu uang dari mana,Negatif
dengan anggaran yang sebegitu besar hanya keledai tolol yang percaya ikn mangkrak,Negatif
ads nya mana,Netral
apakah ini iklan tidak apa-apa sih kalau ini iklan tapi baiknya ditandai sebagai iklan kalau memang iklan,Negatif
rumah yang kamu tempati sekarang kalo dijadikan hutan bagaimana,Positif
wah bakal banyak yang kian sakit hati nih,Negatif
gila sih kalau sampai mangkrak ikutan turun demo aku sudah ngabisin banyak duit masa cuma mau dimangkrakin,Positif
halo berdasarkan informasi hingga juni kantor pemerintahan yang sudah beroperasi di ikn meliputi otorita ikn dan badan intelijen negara bin kompleks kementerian koordinator juga ditargetkan selesai juni kemungkinan sudah berjalan jumlah asn di ikn sekitar terdiri dari pegawai otorita ikn sejak maret dan asn tambahan per juni angka ini bisa lebih tinggi karena kapasitas direncanakan untuk asn data belum sepenuhnya pasti karena relokasi masih berlangsung,Positif
hai grok kantor pemerintahan apa saja ygang sudah berjalan di sana dan berapa jumlah asn nya,Netral
mantap dapat persenan dari bos solo sama mas wapres nih,Positif
wkwkkwkw ini kata nya persis kayak akun buzzer yang bilang ikn enggak mangkrak seenggaknya kalau memang postingan iklan sebagai media kasih tanda lah paham kok media hidup dari iklan normal tapi seenggaknya kasih tanda kecuali kalau ini murni dari redaksi then shame on you sih,Negatif
ada videonya mas,Positif
enggak ada itu namanya daerah tertinggal jalan hancur sembako mahal dll pokoke beres embuh kapan,Netral
tetap saja perusakan hutan pembabatan hutan itu enggak dibenarkan kasihan satwa di kalimantan terutama orangutan,Positif
dunia apa ya,Positif
bukannya janji dari dulu pemerataan terus bangun kcic pakai beban utang yang besar bahkan enggak bakal bisa lunas sampai puluhan tahun namun disisi lain ada daerah yang bahkan jembatan saja enggak punya broh this is about urgency and priority,Negatif
ada nya mana,Positif
hahaha gede bukan ditopang kcic kcic bikin kai rugi bahkan pertamakali enggak nyetor devide sejak infrastruktur bagus tapi kcic dipaksakan karena tingkat urgensinya seberapa besar ada banyak alternatif untuk kebandung tujuannya pemerataan tapi masih jawa sentris,Positif
bro pikir memindahkan ibu kota hanya persolan fisik bangunan saja,Negatif
datang dong ke ikn mainnya jauh dikit kenapa,Negatif
sudah tidak heran lagi media yang sudah condong ke siapa demi hidup independensi nomer dua,Negatif
basuki bandel nih jangan pakai apbn silakan saja mau bangun ini itu saya tidak rela ikhlas pakai dana pajak titik,Negatif
ribuan orang di phk gara ini pak,Negatif
tetap ini bukan salah jokowi tapi salah pengelola bandara karena matamu iku wis budeg eh buta,Negatif
kai dan kereta cepat kcic beda manajemen bro,Negatif
ada yang pulang bayaran pekerjanya enggak benar,Positif
eropa dulu hutan semua,Netral
iya sudah kebanyakan pendatang,Positif
kompas mulai miskin ya,Negatif
ya sudah minggat saja eku kompas kesono mengapai lu masih saja empet an di palmerah sudah minggat sono,Positif
baru memulai tahap ii setelah tahap selama hampir tahun bagaimana statusnya mangkrak kan,Netral
bermegah megah hasil hutang tapi enggak bisa hasilkan uang kalo orang pintar yang benar pengin negara maju mah mending ngutang buat beli alat berat buat nambang nikel emas batubr uranium sendiri bisa menghasilkan pendapatan negara dengan waktu cepat fasum sekolah rs bisa terjamin mutu bagus semua,Positif
jadinya kapan pindah,Positif
standar dunia dunia lain kah ah pretttt lah,Negatif
kasihan uang pajak saya di oakai foya foya,Negatif
mending vendor itu pada dibayarin dulu,Negatif
baru meeting btw berapa lama meetingnya,Negatif
mas pak kapan ini ditempatin,Netral
yang saya tahu banyak bonya,Negatif
kamu enggak takut dicap wahabi lingkungan,Positif
masalahnya siapa yang mau kesono,Positif
main ke sana lihat langsung makanya jadi lebih tahu,Positif
kabar terbaru dunia perlendiran disana bagaimana,Positif
coba lihat markas paspampres di tanah abang ii kalau memang mau pindah ke ikn mengapai buat gedung baru segede gaban dari situ bisa disimpulkan paspampres enggak pindah ke ikn presiden dan wakilnya juga enggak pindah setidaknya dalam waktu dekat,Positif
dear kompas ads nya mana,Negatif
tidak apa-apa kok min sekali sekali ngebuzzer dari pada media nya di brendel karena enggak sejalan sama rezim,Negatif
terlepas dari apapun ya saya salah satu yang berharap bahwa ikn gaboleh mangkrak siapapun presidennya kenapa karena barangnya sudah jadi wajib dilanjut kecualiii kalo dia baru pembebasan lahan baru an progress mah masih bisa ditahan biar enggak dibangun,Negatif
ini semua demi legasi presiden terbodoh dalam sejarah indonesia,Positif
narasi mangkrak memang menyesatkan dari dulu ikn problemnya dipendaan karena enggak ada investor luar yang masuk pendanaan dari apbn swasta dalam negeri ini problemnya sangat memberatkan apbn tidak sesuai koar koar pemerintah diawal,Negatif
hai kalau lagi ngebuzzer jangan sampai ketahuan dong ah malu heheheee sebegitunya mgejilat kilatnya,Negatif
ya suruh pada pindah gih sayangkan sudah jadi pada kagak mau nempatin,Positif
dayak asli sana entar buka jasa bikin tato sama jualan mandau terbang di emperan trotoar datang satpol pp di usir terus dayak nya pada kabur di uber satpol pp terus pas terdesak lari ke hutan naik mandau terbang,Negatif
kompas harusnya kayak cnn kalau ada berita pesanan dikasih hashtag xixixi,Negatif
saya tidak punya data pasti soal siapa yang beli kayu dari deforestasi ikn atau ke mana uangnya mengalir ada indikasi kayu dijual mengingat konsesi kayu di area ikn dikuasai perusahaan seperti pt balikpapan wana lestari dan pt itci kartika utama tapi detail pembeli dan alokasi dana tidak transparan pemerintah klaim proyek ikn untuk pembangunan berkelanjutan tapi kritik soal kerusakan lingkungan dan potensi keuntungan korporasi juga kuat tanpa laporan publik yang jelas ini masih spekulatif,Positif
hektar itu setara berapa banyak paus biru jika dijejerin,Positif
ada betina tempat pbrik anak kaum wanabud wkwkwk,Negatif
ada betina tempat pabrik anak kaum wanabud wkwkwk,Negatif
ngebranding begini ke media biar ada duit asing yang katanya sudah antri dan nama investornya sudah dipegang namanya sama pakde,Positif
ikn ibu kota nusantara sayangnya ya min admin saya kasih tahu negara kita namanya indonesia bukan nusantara itu proyek punya siapa yang punya proyek wajib bayar pajak kepada indonesia nkri makin diakui global ndasmu pekok,Positif
kompas sudah jadi kompos,Positif
goblok amat lu tempat tinggal donald trump waktu jaman dulu juga hutan cuy,Negatif
berita tentang pembangunan ikn yang realitanya tetap terus berjalan itu bikin sakiiit hati yang enggak suka jokowi apalagi nanti jika tahun satu tahun sebelum prabowo habis masa jabatannya ikn secara resmi dibuka sebagai ibu kota negara maka tambah panas kaum kadrun mereka jadi melongo,Positif
enggak ada yang terpaksa memang dibangun bertahap sampai tahun ke depan baca berita nya,Netral
kami sama pinternya dulu sama kuliah di salah satu ptn khusus teknik di bandung enggak usah tolol ini orang juga kali ya,Negatif
memang dibangun bertahap sampai tahun ke depan baca berita nya,Positif
